ortografia,freq_orto,nb_letras
",",2132958,1
.,1603176,1
de,1294610,2
o,935286,1
a,785941,1
e,667537,1
do,523236,2
da,430289,2
em,404703,2
que,323610,3
para,323415,4
que,305121,3
«,277362,1
no,276582,2
com,262746,3
os,259722,2
),248508,1
»,247709,1
(,241090,1
é,239218,1
não,231931,3
na,226898,2
a,223731,1
um,212329,2
uma,179315,3
por,162664,3
as,161130,2
dos,146479,3
ao,127720,2
se,119890,2
:,113638,1
como,111538,4
mais,104913,4
--,98606,2
foi,98452,3
à,95447,1
das,93624,3
%,81988,1
mas,80202,3
ou,71103,2
ser,69756,3
sua,68289,3
ele,67998,3
pelo,67513,4
seu,60950,3
pela,60632,4
¬,55447,1
entre,52099,5
tem,51679,3
já,51299,2
são,50920,3
se,50314,2
também,50229,6
sobre,49241,5
disse,48439,5
nos,47926,3
um,44366,2
ontem,44199,5
anos,42809,4
?,42538,1
governo,40307,7
segundo,40271,7
quando,39832,6
tá,38429,3
dia,36931,3
às,36331,2
,36218,3
ainda,35364,5
dois,35110,4
pode,35070,4
só,35048,2
vai,34996,3
hoje,34495,4
ano,34381,3
nas,34346,3
sem,32886,3
presidente,32852,10
aos,32477,3
diz,32455,3
até,32344,3
contra,31299,6
seus,30806,4
foram,30066,5
era,29518,3
ter,29234,3
isso,27985,4
mil,26480,3
tr黌,26407,3
há,26398,2
eu,26261,2
depois,25903,6
será,25830,4
uma,25748,3
país,25286,4
muito,24991,5
r$,24444,2
apenas,23816,6
ela,23460,3
,22965,1
onde,22866,4
deve,22734,4
todos,22069,5
maior,21986,5
tempo,21684,5
quem,21657,4
pessoas,21421,7
1,21365,1
/,21161,1
dias,20771,4
suas,20579,4
fazer,20504,5
!,20383,1
porque,20228,6
milhões,20221,7
outros,19757,6
parte,19724,5
duas,19518,4
eles,19364,4
mais,18781,4
primeiro,18710,8
tão,18611,4
mesmo,18318,5
vez,18172,3
o,17971,1
cada,17934,4
mercado,17789,7
agora,17747,5
grande,17621,6
outro,17620,5
bem,17331,3
desde,17324,5
durante,17177,7
até,17096,3
mês,16797,3
caso,16701,4
assim,16571,5
antes,16539,5
além,16534,4
2,16271,1
me,16218,2
cidade,16093,6
primeira,15918,8
empresa,15904,7
quatro,15903,6
preços,15733,6
candidato,15416,9
novo,15410,4
afirmou,15332,7
pelos,15302,5
mesmo,15263,5
mundo,15208,5
tudo,15166,4
semana,14927,6
sempre,14909,6
empresas,14875,8
você,14789,4
trabalho,14694,8
qualquer,14631,8
cerca,14552,5
estado,14490,6
que,14300,3
partir,14273,6
têm,14237,3
seja,14234,4
equipe,14170,6
casa,14158,4
jogo,14128,4
grupo,14111,5
vida,14097,4
faz,13953,3
está,13716,4
exemplo,13716,7
nova,13694,4
ministro,13674,8
acordo,13662,6
forma,13503,5
todo,12987,4
time,12868,4
menos,12845,5
campanha,12796,8
sendo,12791,5
programa,12764,8
processo,12661,8
há,12627,2
após,12568,4
segundo,12372,7
alguns,12297,6
outra,12247,5
número,12082,6
cinco,12035,5
meses,12028,5
final,12000,5
seria,11995,5
lei,11936,3
tinha,11935,5
podem,11910,5
fez,11804,3
relação,11780,7
melhor,11732,6
